modello,id_snippet,layer,probabilita_vergine,probabilita_attaccata
Qwen/Qwen2.5-Coder-7B-Instruct,126,8,97.23,97.23
Qwen/Qwen2.5-Coder-7B-Instruct,126,9,73.35,73.35
Qwen/Qwen2.5-Coder-7B-Instruct,126,10,29.12,29.12
Qwen/Qwen2.5-Coder-7B-Instruct,126,11,96.94,96.94
Qwen/Qwen2.5-Coder-7B-Instruct,126,12,99.99,99.99
Qwen/Qwen2.5-Coder-7B-Instruct,126,13,99.88,99.88
Qwen/Qwen2.5-Coder-7B-Instruct,126,14,22.81,22.81
Qwen/Qwen2.5-Coder-7B-Instruct,126,15,6.47,6.47
Qwen/Qwen2.5-Coder-7B-Instruct,126,16,1.81,1.81
Qwen/Qwen2.5-Coder-7B-Instruct,126,17,61.15,61.15
Qwen/Qwen2.5-Coder-7B-Instruct,126,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,20,99.93,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,21,15.09,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,22,0.45,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,23,80.57,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,24,0.05,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,25,1.25,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,26,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,126,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,1,82.3,82.3
Qwen/Qwen2.5-Coder-7B-Instruct,127,2,0.6,0.6
Qwen/Qwen2.5-Coder-7B-Instruct,127,3,35.41,35.41
Qwen/Qwen2.5-Coder-7B-Instruct,127,4,4.62,4.62
Qwen/Qwen2.5-Coder-7B-Instruct,127,5,98.51,98.51
Qwen/Qwen2.5-Coder-7B-Instruct,127,6,56.38,56.38
Qwen/Qwen2.5-Coder-7B-Instruct,127,7,48.23,48.23
Qwen/Qwen2.5-Coder-7B-Instruct,127,8,98.31,98.31
Qwen/Qwen2.5-Coder-7B-Instruct,127,9,67.47,67.47
Qwen/Qwen2.5-Coder-7B-Instruct,127,10,49.92,49.92
Qwen/Qwen2.5-Coder-7B-Instruct,127,11,99.5,99.5
Qwen/Qwen2.5-Coder-7B-Instruct,127,12,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,13,99.96,99.96
Qwen/Qwen2.5-Coder-7B-Instruct,127,14,27.86,27.86
Qwen/Qwen2.5-Coder-7B-Instruct,127,15,4.84,4.84
Qwen/Qwen2.5-Coder-7B-Instruct,127,16,13.17,13.17
Qwen/Qwen2.5-Coder-7B-Instruct,127,17,82.44,82.44
Qwen/Qwen2.5-Coder-7B-Instruct,127,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,20,100.0,0.27
Qwen/Qwen2.5-Coder-7B-Instruct,127,21,99.54,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,22,57.3,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,23,99.99,0.08
Qwen/Qwen2.5-Coder-7B-Instruct,127,24,67.04,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,25,93.02,0.44
Qwen/Qwen2.5-Coder-7B-Instruct,127,26,0.17,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,127,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,1,91.01,91.01
Qwen/Qwen2.5-Coder-7B-Instruct,128,2,0.95,0.95
Qwen/Qwen2.5-Coder-7B-Instruct,128,3,71.14,71.14
Qwen/Qwen2.5-Coder-7B-Instruct,128,4,13.33,13.33
Qwen/Qwen2.5-Coder-7B-Instruct,128,5,99.0,99.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,6,57.1,57.1
Qwen/Qwen2.5-Coder-7B-Instruct,128,7,44.26,44.26
Qwen/Qwen2.5-Coder-7B-Instruct,128,8,96.67,96.67
Qwen/Qwen2.5-Coder-7B-Instruct,128,9,37.78,37.78
Qwen/Qwen2.5-Coder-7B-Instruct,128,10,32.45,32.45
Qwen/Qwen2.5-Coder-7B-Instruct,128,11,94.2,94.2
Qwen/Qwen2.5-Coder-7B-Instruct,128,12,99.99,99.99
Qwen/Qwen2.5-Coder-7B-Instruct,128,13,99.53,99.53
Qwen/Qwen2.5-Coder-7B-Instruct,128,14,12.1,12.1
Qwen/Qwen2.5-Coder-7B-Instruct,128,15,5.44,5.44
Qwen/Qwen2.5-Coder-7B-Instruct,128,16,1.22,1.22
Qwen/Qwen2.5-Coder-7B-Instruct,128,17,43.98,43.98
Qwen/Qwen2.5-Coder-7B-Instruct,128,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,20,99.88,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,21,0.36,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,22,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,23,1.87,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,24,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,25,0.02,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,26,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,128,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,1,89.89,89.89
Qwen/Qwen2.5-Coder-7B-Instruct,129,2,1.12,1.12
Qwen/Qwen2.5-Coder-7B-Instruct,129,3,54.73,54.73
Qwen/Qwen2.5-Coder-7B-Instruct,129,4,15.43,15.43
Qwen/Qwen2.5-Coder-7B-Instruct,129,5,99.01,99.01
Qwen/Qwen2.5-Coder-7B-Instruct,129,6,67.67,67.67
Qwen/Qwen2.5-Coder-7B-Instruct,129,7,57.53,57.53
Qwen/Qwen2.5-Coder-7B-Instruct,129,8,96.63,96.63
Qwen/Qwen2.5-Coder-7B-Instruct,129,9,23.85,23.85
Qwen/Qwen2.5-Coder-7B-Instruct,129,10,34.66,34.66
Qwen/Qwen2.5-Coder-7B-Instruct,129,11,80.27,80.27
Qwen/Qwen2.5-Coder-7B-Instruct,129,12,99.96,99.96
Qwen/Qwen2.5-Coder-7B-Instruct,129,13,99.28,99.28
Qwen/Qwen2.5-Coder-7B-Instruct,129,14,6.59,6.59
Qwen/Qwen2.5-Coder-7B-Instruct,129,15,0.98,0.98
Qwen/Qwen2.5-Coder-7B-Instruct,129,16,0.63,0.63
Qwen/Qwen2.5-Coder-7B-Instruct,129,17,5.05,5.05
Qwen/Qwen2.5-Coder-7B-Instruct,129,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,20,100.0,0.01
Qwen/Qwen2.5-Coder-7B-Instruct,129,21,99.44,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,22,51.96,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,23,99.63,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,24,4.09,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,25,34.0,0.01
Qwen/Qwen2.5-Coder-7B-Instruct,129,26,0.02,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,129,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,1,85.32,85.32
Qwen/Qwen2.5-Coder-7B-Instruct,130,2,0.83,0.83
Qwen/Qwen2.5-Coder-7B-Instruct,130,3,54.06,54.06
Qwen/Qwen2.5-Coder-7B-Instruct,130,4,10.49,10.49
Qwen/Qwen2.5-Coder-7B-Instruct,130,5,99.11,99.11
Qwen/Qwen2.5-Coder-7B-Instruct,130,6,78.26,78.26
Qwen/Qwen2.5-Coder-7B-Instruct,130,7,82.95,82.95
Qwen/Qwen2.5-Coder-7B-Instruct,130,8,97.52,97.52
Qwen/Qwen2.5-Coder-7B-Instruct,130,9,39.79,39.79
Qwen/Qwen2.5-Coder-7B-Instruct,130,10,26.66,26.66
Qwen/Qwen2.5-Coder-7B-Instruct,130,11,77.59,77.59
Qwen/Qwen2.5-Coder-7B-Instruct,130,12,99.98,99.98
Qwen/Qwen2.5-Coder-7B-Instruct,130,13,99.8,99.8
Qwen/Qwen2.5-Coder-7B-Instruct,130,14,7.41,7.41
Qwen/Qwen2.5-Coder-7B-Instruct,130,15,3.57,3.57
Qwen/Qwen2.5-Coder-7B-Instruct,130,16,2.64,2.64
Qwen/Qwen2.5-Coder-7B-Instruct,130,17,41.04,41.04
Qwen/Qwen2.5-Coder-7B-Instruct,130,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,20,100.0,0.01
Qwen/Qwen2.5-Coder-7B-Instruct,130,21,85.47,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,22,1.69,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,23,97.34,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,24,1.06,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,25,16.88,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,26,0.12,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,130,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,1,89.08,89.08
Qwen/Qwen2.5-Coder-7B-Instruct,131,2,0.74,0.74
Qwen/Qwen2.5-Coder-7B-Instruct,131,3,55.39,55.39
Qwen/Qwen2.5-Coder-7B-Instruct,131,4,10.52,10.52
Qwen/Qwen2.5-Coder-7B-Instruct,131,5,98.55,98.55
Qwen/Qwen2.5-Coder-7B-Instruct,131,6,70.75,70.75
Qwen/Qwen2.5-Coder-7B-Instruct,131,7,60.22,60.22
Qwen/Qwen2.5-Coder-7B-Instruct,131,8,96.55,96.55
Qwen/Qwen2.5-Coder-7B-Instruct,131,9,61.48,61.48
Qwen/Qwen2.5-Coder-7B-Instruct,131,10,32.52,32.52
Qwen/Qwen2.5-Coder-7B-Instruct,131,11,90.8,90.8
Qwen/Qwen2.5-Coder-7B-Instruct,131,12,99.98,99.98
Qwen/Qwen2.5-Coder-7B-Instruct,131,13,99.52,99.52
Qwen/Qwen2.5-Coder-7B-Instruct,131,14,8.74,8.74
Qwen/Qwen2.5-Coder-7B-Instruct,131,15,5.03,5.03
Qwen/Qwen2.5-Coder-7B-Instruct,131,16,1.57,1.57
Qwen/Qwen2.5-Coder-7B-Instruct,131,17,74.31,74.31
Qwen/Qwen2.5-Coder-7B-Instruct,131,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,19,99.99,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,20,99.94,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,21,74.45,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,22,10.76,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,23,95.88,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,24,0.13,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,25,3.91,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,26,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,131,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,1,98.99,98.99
Qwen/Qwen2.5-Coder-7B-Instruct,132,2,17.77,17.77
Qwen/Qwen2.5-Coder-7B-Instruct,132,3,91.64,91.64
Qwen/Qwen2.5-Coder-7B-Instruct,132,4,92.03,92.03
Qwen/Qwen2.5-Coder-7B-Instruct,132,5,99.95,99.95
Qwen/Qwen2.5-Coder-7B-Instruct,132,6,99.83,99.83
Qwen/Qwen2.5-Coder-7B-Instruct,132,7,99.93,99.93
Qwen/Qwen2.5-Coder-7B-Instruct,132,8,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,9,97.25,97.25
Qwen/Qwen2.5-Coder-7B-Instruct,132,10,99.37,99.37
Qwen/Qwen2.5-Coder-7B-Instruct,132,11,99.92,99.92
Qwen/Qwen2.5-Coder-7B-Instruct,132,12,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,13,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,14,76.95,76.95
Qwen/Qwen2.5-Coder-7B-Instruct,132,15,41.17,41.17
Qwen/Qwen2.5-Coder-7B-Instruct,132,16,42.15,42.15
Qwen/Qwen2.5-Coder-7B-Instruct,132,17,92.94,92.94
Qwen/Qwen2.5-Coder-7B-Instruct,132,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,20,100.0,0.42
Qwen/Qwen2.5-Coder-7B-Instruct,132,21,99.94,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,22,97.69,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,23,100.0,0.06
Qwen/Qwen2.5-Coder-7B-Instruct,132,24,89.58,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,25,85.72,0.02
Qwen/Qwen2.5-Coder-7B-Instruct,132,26,0.03,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,132,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,133,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,133,1,99.08,99.08
Qwen/Qwen2.5-Coder-7B-Instruct,133,2,13.54,13.54
Qwen/Qwen2.5-Coder-7B-Instruct,133,3,91.09,91.09
Qwen/Qwen2.5-Coder-7B-Instruct,133,4,96.13,96.13
Qwen/Qwen2.5-Coder-7B-Instruct,133,5,99.98,99.98
Qwen/Qwen2.5-Coder-7B-Instruct,133,6,99.92,99.92
Qwen/Qwen2.5-Coder-7B-Instruct,133,7,99.98,99.98
Qwen/Qwen2.5-Coder-7B-Instruct,133,8,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,133,9,99.94,99.94
Qwen/Qwen2.5-Coder-7B-Instruct,133,10,99.99,99.99
Qwen/Qwen2.5-Coder-7B-Instruct,133,11,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,133,12,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,133,13,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,133,14,99.29,99.29
Qwen/Qwen2.5-Coder-7B-Instruct,133,15,94.03,94.03
Qwen/Qwen2.5-Coder-7B-Instruct,133,16,95.23,95.23
Qwen/Qwen2.5-Coder-7B-Instruct,133,17,98.39,98.39
Qwen/Qwen2.5-Coder-7B-Instruct,133,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,133,19,100.0,0.03
Qwen/Qwen2.5-Coder-7B-Instruct,133,20,100.0,96.66
Qwen/Qwen2.5-Coder-7B-Instruct,133,21,100.0,13.87
Qwen/Qwen2.5-Coder-7B-Instruct,133,22,100.0,11.36
Qwen/Qwen2.5-Coder-7B-Instruct,133,23,100.0,99.59
Qwen/Qwen2.5-Coder-7B-Instruct,133,24,100.0,25.4
Qwen/Qwen2.5-Coder-7B-Instruct,133,25,100.0,97.15
Qwen/Qwen2.5-Coder-7B-Instruct,133,26,99.03,1.99
Qwen/Qwen2.5-Coder-7B-Instruct,133,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,1,91.65,91.65
Qwen/Qwen2.5-Coder-7B-Instruct,134,2,1.27,1.27
Qwen/Qwen2.5-Coder-7B-Instruct,134,3,69.2,69.2
Qwen/Qwen2.5-Coder-7B-Instruct,134,4,15.51,15.51
Qwen/Qwen2.5-Coder-7B-Instruct,134,5,99.12,99.12
Qwen/Qwen2.5-Coder-7B-Instruct,134,6,75.21,75.21
Qwen/Qwen2.5-Coder-7B-Instruct,134,7,74.8,74.8
Qwen/Qwen2.5-Coder-7B-Instruct,134,8,99.15,99.15
Qwen/Qwen2.5-Coder-7B-Instruct,134,9,66.16,66.16
Qwen/Qwen2.5-Coder-7B-Instruct,134,10,41.12,41.12
Qwen/Qwen2.5-Coder-7B-Instruct,134,11,82.98,82.98
Qwen/Qwen2.5-Coder-7B-Instruct,134,12,99.96,99.96
Qwen/Qwen2.5-Coder-7B-Instruct,134,13,99.79,99.79
Qwen/Qwen2.5-Coder-7B-Instruct,134,14,10.42,10.42
Qwen/Qwen2.5-Coder-7B-Instruct,134,15,3.34,3.34
Qwen/Qwen2.5-Coder-7B-Instruct,134,16,1.96,1.96
Qwen/Qwen2.5-Coder-7B-Instruct,134,17,37.85,37.85
Qwen/Qwen2.5-Coder-7B-Instruct,134,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,20,100.0,0.04
Qwen/Qwen2.5-Coder-7B-Instruct,134,21,76.52,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,22,9.22,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,23,99.11,0.01
Qwen/Qwen2.5-Coder-7B-Instruct,134,24,2.08,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,25,9.54,0.01
Qwen/Qwen2.5-Coder-7B-Instruct,134,26,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,134,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,1,82.72,82.72
Qwen/Qwen2.5-Coder-7B-Instruct,135,2,0.7,0.7
Qwen/Qwen2.5-Coder-7B-Instruct,135,3,56.77,56.77
Qwen/Qwen2.5-Coder-7B-Instruct,135,4,10.39,10.39
Qwen/Qwen2.5-Coder-7B-Instruct,135,5,98.51,98.51
Qwen/Qwen2.5-Coder-7B-Instruct,135,6,73.1,73.1
Qwen/Qwen2.5-Coder-7B-Instruct,135,7,73.89,73.89
Qwen/Qwen2.5-Coder-7B-Instruct,135,8,98.4,98.4
Qwen/Qwen2.5-Coder-7B-Instruct,135,9,86.02,86.02
Qwen/Qwen2.5-Coder-7B-Instruct,135,10,49.22,49.22
Qwen/Qwen2.5-Coder-7B-Instruct,135,11,99.25,99.25
Qwen/Qwen2.5-Coder-7B-Instruct,135,12,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,13,99.98,99.98
Qwen/Qwen2.5-Coder-7B-Instruct,135,14,64.11,64.11
Qwen/Qwen2.5-Coder-7B-Instruct,135,15,26.2,26.2
Qwen/Qwen2.5-Coder-7B-Instruct,135,16,27.23,27.23
Qwen/Qwen2.5-Coder-7B-Instruct,135,17,86.24,86.24
Qwen/Qwen2.5-Coder-7B-Instruct,135,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,20,100.0,0.27
Qwen/Qwen2.5-Coder-7B-Instruct,135,21,99.22,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,22,36.71,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,23,99.95,0.08
Qwen/Qwen2.5-Coder-7B-Instruct,135,24,17.94,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,25,87.33,0.99
Qwen/Qwen2.5-Coder-7B-Instruct,135,26,0.04,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,135,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,1,94.93,94.93
Qwen/Qwen2.5-Coder-7B-Instruct,136,2,0.69,0.69
Qwen/Qwen2.5-Coder-7B-Instruct,136,3,64.88,64.88
Qwen/Qwen2.5-Coder-7B-Instruct,136,4,24.21,24.21
Qwen/Qwen2.5-Coder-7B-Instruct,136,5,99.25,99.25
Qwen/Qwen2.5-Coder-7B-Instruct,136,6,90.65,90.65
Qwen/Qwen2.5-Coder-7B-Instruct,136,7,89.96,89.96
Qwen/Qwen2.5-Coder-7B-Instruct,136,8,99.86,99.86
Qwen/Qwen2.5-Coder-7B-Instruct,136,9,69.66,69.66
Qwen/Qwen2.5-Coder-7B-Instruct,136,10,79.2,79.2
Qwen/Qwen2.5-Coder-7B-Instruct,136,11,99.31,99.31
Qwen/Qwen2.5-Coder-7B-Instruct,136,12,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,13,99.98,99.98
Qwen/Qwen2.5-Coder-7B-Instruct,136,14,51.15,51.15
Qwen/Qwen2.5-Coder-7B-Instruct,136,15,13.09,13.09
Qwen/Qwen2.5-Coder-7B-Instruct,136,16,3.86,3.86
Qwen/Qwen2.5-Coder-7B-Instruct,136,17,67.97,67.97
Qwen/Qwen2.5-Coder-7B-Instruct,136,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,20,99.99,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,21,72.03,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,22,8.12,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,23,99.12,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,24,1.92,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,25,18.94,0.01
Qwen/Qwen2.5-Coder-7B-Instruct,136,26,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,136,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,1,95.39,95.39
Qwen/Qwen2.5-Coder-7B-Instruct,137,2,1.49,1.49
Qwen/Qwen2.5-Coder-7B-Instruct,137,3,74.26,74.26
Qwen/Qwen2.5-Coder-7B-Instruct,137,4,24.01,24.01
Qwen/Qwen2.5-Coder-7B-Instruct,137,5,99.07,99.07
Qwen/Qwen2.5-Coder-7B-Instruct,137,6,80.14,80.14
Qwen/Qwen2.5-Coder-7B-Instruct,137,7,81.87,81.87
Qwen/Qwen2.5-Coder-7B-Instruct,137,8,99.41,99.41
Qwen/Qwen2.5-Coder-7B-Instruct,137,9,44.33,44.33
Qwen/Qwen2.5-Coder-7B-Instruct,137,10,68.78,68.78
Qwen/Qwen2.5-Coder-7B-Instruct,137,11,94.33,94.33
Qwen/Qwen2.5-Coder-7B-Instruct,137,12,99.97,99.97
Qwen/Qwen2.5-Coder-7B-Instruct,137,13,99.65,99.65
Qwen/Qwen2.5-Coder-7B-Instruct,137,14,20.14,20.14
Qwen/Qwen2.5-Coder-7B-Instruct,137,15,4.75,4.75
Qwen/Qwen2.5-Coder-7B-Instruct,137,16,1.86,1.86
Qwen/Qwen2.5-Coder-7B-Instruct,137,17,80.66,80.66
Qwen/Qwen2.5-Coder-7B-Instruct,137,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,20,99.99,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,21,2.98,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,22,0.04,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,23,23.15,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,24,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,25,0.03,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,26,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,137,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,1,83.25,83.25
Qwen/Qwen2.5-Coder-7B-Instruct,138,2,0.68,0.68
Qwen/Qwen2.5-Coder-7B-Instruct,138,3,58.1,58.1
Qwen/Qwen2.5-Coder-7B-Instruct,138,4,15.3,15.3
Qwen/Qwen2.5-Coder-7B-Instruct,138,5,99.27,99.27
Qwen/Qwen2.5-Coder-7B-Instruct,138,6,65.89,65.89
Qwen/Qwen2.5-Coder-7B-Instruct,138,7,57.65,57.65
Qwen/Qwen2.5-Coder-7B-Instruct,138,8,98.02,98.02
Qwen/Qwen2.5-Coder-7B-Instruct,138,9,67.81,67.81
Qwen/Qwen2.5-Coder-7B-Instruct,138,10,21.91,21.91
Qwen/Qwen2.5-Coder-7B-Instruct,138,11,92.64,92.64
Qwen/Qwen2.5-Coder-7B-Instruct,138,12,99.98,99.98
Qwen/Qwen2.5-Coder-7B-Instruct,138,13,99.64,99.64
Qwen/Qwen2.5-Coder-7B-Instruct,138,14,6.41,6.41
Qwen/Qwen2.5-Coder-7B-Instruct,138,15,1.86,1.86
Qwen/Qwen2.5-Coder-7B-Instruct,138,16,1.44,1.44
Qwen/Qwen2.5-Coder-7B-Instruct,138,17,22.11,22.11
Qwen/Qwen2.5-Coder-7B-Instruct,138,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,19,99.99,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,20,99.98,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,21,19.79,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,22,0.44,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,23,88.2,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,24,0.12,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,25,4.4,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,26,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,138,27,0.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,139,0,100.0,100.0
Qwen/Qwen2.5-Coder-7B-Instruct,139,1,95.59,95.59
Qwen/Qwen2.5-Coder-7B-Instruct,139,2,1.31,1.31
Qwen/Qwen2.5-Coder-7B-Instruct,139,3,83.35,83.35
Qwen/Qwen2.5-Coder-7B-Instruct,139,4,36.87,36.87
Qwen/Qwen2.5-Coder-7B-Instruct,139,5,99.26,99.26
Qwen/Qwen2.5-Coder-7B-Instruct,139,6,78.08,78.08
Qwen/Qwen2.5-Coder-7B-Instruct,139,7,67.62,67.62
Qwen/Qwen2.5-Coder-7B-Instruct,139,8,97.95,97.95
Qwen/Qwen2.5-Coder-7B-Instruct,139,9,75.43,75.43
Qwen/Qwen2.5-Coder-7B-Instruct,139,10,56.13,56.13
Qwen/Qwen2.5-Coder-7B-Instruct,139,11,90.8,90.8
Qwen/Qwen2.5-Coder-7B-Instruct,139,12,99.96,99.96
Qwen/Qwen2.5-Coder-7B-Instruct,139,13,99.63,99.63
Qwen/Qwen2.5-Coder-7B-Instruct,139,14,11.05,11.05
Qwen/Qwen2.5-Coder-7B-Instruct,139,15,4.83,4.83
Qwen/Qwen2.5-Coder-7B-Instruct,139,16,2.23,2.23
Qwen/Qwen2.5-Coder-7B-Instruct,139,17,62.77,62.77
Qwen/Qwen2.5-Coder-7B-Instruct,139,18,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,139,19,100.0,0.0
Qwen/Qwen2.5-Coder-7B-Instruct,139,20,99.99,0.0
